Feature	SortIndex	Mean_W	StErr_W	Mean_W_GM	StErr_W_GM	CVratio	CVratio_GM	P_Relia95CI_GM	SignConst	Z_SignConst	P_SignConst	Pfdr_SignConst	Z_Perm	P_PermProb	Pfdr_PermProb
sd_H_AU02_r	17	0.00628505	0.413117	-0.0049395	0.370831	0.0152137	-0.05505	-0.07	0.0246914	0.256516	0.399271	0.329298	-0.332108	0.282918	42.9997
mean_H_AU02_r	18	-0.0719235	0.453019	-0.0747999	0.413566	-0.158765	-0.685062	-0.07	0.121641	1.26372	0.986466	0.674971	-1.37805	0.311707	40.4478
md_H_AU02_r	19	-0.00766904	0.456622	-0.0175306	0.421796	-0.0167951	-0.0402162	-0.05	0.023602	0.245199	0.394532	0.327585	-0.61758	0.283687	47.8226
skew_H_AU02_r	20	0.0166786	0.399663	0.00797721	0.360217	0.0417318	0.100466	0.09	0.0148874	0.154664	0.357988	0.312628	-0.0115036	0.280723	46.817
kurtosis_H_AU02_r	21	0.0345194	0.385778	0.0362241	0.347016	0.0894801	0.308795	0.07	0.0493827	0.513032	0.517177	0.386895	0.292781	0.276415	48.9999
min_M_AU02_r	22	-0.169574	0.369516	-0.17349	0.344816	-0.458909	-1.98182	-0.16	0.328976	3.4177	3.50064	2.17842	-1.83563	0.353217	28.3157
max_M_AU02_r	23	0.153103	0.491963	0.152553	0.45061	0.311208	1.38934	0.09	0.22549	2.3426	2.01886	1.27067	1.51339	0.32728	32.5474
sd_M_AU02_r	24	0.112989	0.444783	0.105333	0.405241	0.254032	1.17867	0.1	0.200073	2.07854	1.72515	1.13929	0.993176	0.305616	41.678
mean_M_AU02_r	25	-0.10318	0.558827	-0.117042	0.504744	-0.184636	-0.863828	-0.11	0.153232	1.59191	1.25413	0.851589	-1.83402	0.306859	40.1226
md_M_AU02_r	26	-0.169897	0.364009	-0.16051	0.338962	-0.466739	-2.05203	-0.17	0.342774	3.56105	3.73356	2.26149	-2.85901	0.367286	29.3826
skew_M_AU02_r	27	0.166564	0.489522	0.178926	0.449383	0.34026	1.50569	0.12	0.242919	2.52367	2.23606	1.32366	1.67876	0.328358	31.9767
kurtosis_M_AU02_r	28	0.164568	0.480403	0.1787	0.441338	0.342562	1.51654	0.1	0.239288	2.48594	2.18974	1.30685	1.77099	0.332177	29.8748
min_H_AU06_r	29	-0.188672	0.548482	-0.185432	0.506734	-0.343989	-1.47173	-0.11	0.271242	2.81791	2.61674	1.53756	-2.23606	0.344384	23.4696
max_H_AU06_r	30	0.105117	0.464639	0.108633	0.428499	0.226235	1.00098	0.1	0.184459	1.91633	1.55812	1.04881	1.22599	0.341963	43.7495
sd_H_AU06_r	31	0.112491	0.461796	0.128576	0.426895	0.243595	1.09288	0.06	0.215323	2.23697	1.89811	1.21264	1.9312	0.352996	45.8299
mean_H_AU06_r	32	0.00211072	0.41463	-0.00141962	0.371419	0.00509062	0.0445134	-0.03	0.0177923	0.184843	0.369902	0.316275	-0.121744	0.303427	38.9896
md_H_AU06_r	33	-0.00762749	0.420301	-0.0158228	0.379715	-0.0181477	-0.0543491	-0.03	0.00399419	0.0414953	0.315648	0.30629	-0.386499	0.299319	39.1929
skew_H_AU06_r	34	0.0507961	0.45022	0.0616728	0.412627	0.112825	0.562118	0.06	0.0962237	0.999659	0.79932	0.562173	0.398392	0.290597	43.6037
kurtosis_H_AU06_r	35	0.0530632	0.426713	0.0649019	0.389099	0.124353	0.641293	0.06	0.110748	1.15055	0.903234	0.622407	0.0683224	0.279866	46.7624
min_M_AU06_r	36	-0.136486	0.51102	-0.142714	0.472607	-0.267085	-1.16527	-0.06	0.217502	2.25961	1.92362	1.21264	-1.54108	0.329684	31.8279
max_M_AU06_r	37	0.0987035	0.605771	0.0818601	0.561549	0.162939	0.676976	0.05	0.115105	1.19582	0.935977	0.637331	0.948595	0.304753	47.1656
sd_M_AU06_r	38	0.0376853	0.49894	0.0447535	0.461529	0.0755307	0.280296	0.04	0.0624546	0.648835	0.588006	0.434579	0.548617	0.304982	46.7181
mean_M_AU06_r	39	-0.0178837	0.511744	-0.00303955	0.464495	-0.0349465	-0.0634133	-0.02	0.0108932	0.113169	0.342038	0.312628	0.181562	0.298583	48.0133
md_M_AU06_r	40	-0.0242665	0.445081	-0.0199124	0.407194	-0.0545214	-0.144217	-0.05	0.0137981	0.143347	0.353588	0.312628	0.0992712	0.294145	47.6091
skew_M_AU06_r	41	0.0521935	0.454455	0.0558224	0.423682	0.114848	0.504254	0.05	0.0853304	0.88649	0.726589	0.530664	0.525846	0.300809	47.4033
kurtosis_M_AU06_r	42	0.0884386	0.432493	0.107531	0.40124	0.204486	0.886491	0.07	0.180465	1.87483	1.51701	1.04018	1.13223	0.323434	47.939
min_H_AU07_r	43	-0.0695269	0.441998	-0.070237	0.400692	-0.157301	-0.775033	-0.08	0.114742	1.19205	0.933221	0.637331	-0.697781	0.292026	49.2528
max_H_AU07_r	44	-0.0236638	0.488973	-0.0398318	0.449719	-0.0483948	-0.135991	-0.03	0.033406	0.347051	0.438569	0.34998	0.252828	0.293654	47.6479
sd_H_AU07_r	45	-0.0252878	0.500732	-0.0266146	0.455557	-0.0505017	-0.220992	-0.06	0.0442992	0.46022	0.491229	0.37313	0.201107	0.303134	45.145
mean_H_AU07_r	46	-0.152153	0.586073	-0.163956	0.530609	-0.259615	-1.16468	-0.09	0.19971	2.07476	1.72115	1.13929	-0.699984	0.298669	36.8569
md_H_AU07_r	47	-0.17543	0.573443	-0.197037	0.520848	-0.305924	-1.34906	-0.17	0.19971	2.07476	1.72115	1.13929	-1.04476	0.30477	29.9009
skew_H_AU07_r	48	0.0487161	0.3868	0.0514561	0.356172	0.125947	0.543139	0.01	0.0907771	0.943074	0.762402	0.554126	0.429054	0.291946	47.6343
kurtosis_H_AU07_r	49	0.0239578	0.325113	0.0228651	0.301821	0.0736907	0.278185	0.01	0.0392157	0.407408	0.466159	0.361191	0.0733677	0.300679	50.9073
min_M_AU07_r	50	-0.0353351	0.477135	-0.0297681	0.439463	-0.074057	-0.341454	-0.05	0.0526507	0.546983	0.534327	0.398923	-0.243603	0.30059	48.5046
max_M_AU07_r	51	0.0461391	0.491436	0.0549772	0.452847	0.0938862	0.432337	0.04	0.0958606	0.995887	0.796824	0.562173	0.739132	0.307417	36.4752
sd_M_AU07_r	52	0.0476623	0.498751	0.0593484	0.459289	0.0955634	0.452694	0.04	0.0846042	0.878945	0.721897	0.530012	1.08006	0.316411	37.8706
mean_M_AU07_r	53	0.0157185	0.515713	0.0146008	0.460655	0.0304792	0.200185	0.08	0.0388526	0.403636	0.464402	0.361191	0.782292	0.31694	44.1395
md_M_AU07_r	54	0.0216232	0.505007	0.0120642	0.452041	0.0428176	0.256944	0.08	0.0461147	0.479082	0.500395	0.37889	0.874039	0.321245	44.7973
skew_M_AU07_r	55	-0.0160209	0.391583	-0.0130049	0.36464	-0.0409132	-0.154769	-0.01	0.0315904	0.32819	0.430177	0.344747	-0.909989	0.300056	48.2709
kurtosis_M_AU07_r	56	-0.00788094	0.455866	-0.00455659	0.424069	-0.0172878	-0.053828	-0	0.0185185	0.192387	0.372922	0.316275	-0.7725	0.300553	47.5038
min_H_AU09_r	57	-0.183383	0.361342	-0.181473	0.336116	-0.507505	-2.29235	-0.21	0.374728	3.89301	4.30536	2.55717	-2.08055	0.365187	41.6023
max_H_AU09_r	58	0.035258	0.323272	0.0403023	0.29149	0.109066	0.549264	0.06	0.111474	1.1581	0.908641	0.622851	0.304695	0.266765	48.7944
sd_H_AU09_r	59	0.0590506	0.317794	0.0557106	0.288669	0.185814	0.850802	0.03	0.156137	1.62209	1.28073	0.861653	0.79997	0.278759	47.6628
mean_H_AU09_r	60	-0.0748783	0.514385	-0.0725886	0.47723	-0.145568	-0.730422	-0.03	0.144517	1.50137	1.17633	0.811172	-0.168467	0.277029	47.6558
md_H_AU09_r	61	-0.13436	0.480036	-0.144734	0.44579	-0.279896	-1.24166	-0.12	0.21496	2.2332	1.89388	1.21264	-0.729187	0.29612	44.0464
skew_H_AU09_r	62	0.0309615	0.308855	0.0394835	0.281885	0.100246	0.435106	0.07	0.067175	0.697875	0.61506	0.448339	0.0137573	0.274137	47.1964
kurtosis_H_AU09_r	63	0.0307525	0.308456	0.039978	0.280492	0.0996979	0.454903	0.07	0.0933188	0.96948	0.779492	0.560327	0.0102802	0.272493	47.949
min_M_AU09_r	64	-0.148984	0.515226	-0.132439	0.478042	-0.289163	-1.25082	-0.04	0.201525	2.09363	1.7412	1.13929	-1.49723	0.311163	43.3518
max_M_AU09_r	65	0.0910285	0.350679	0.088199	0.317966	0.259578	1.11643	0.05	0.190995	1.98423	1.62681	1.06203	0.952086	0.299225	48.3362
sd_M_AU09_r	66	0.109555	0.33903	0.116818	0.308341	0.323144	1.41718	0.1	0.25236	2.62175	2.35912	1.41256	1.36046	0.31859	48.641
mean_M_AU09_r	67	0.0702737	0.420799	0.0740445	0.387539	0.167001	0.763314	0.04	0.151416	1.57305	1.23767	0.851207	1.07126	0.32049	48.1421
md_M_AU09_r	68	0.0110345	0.378111	0.0076084	0.348176	0.0291832	0.160457	0.03	0.0196078	0.203704	0.377483	0.316275	0.211803	0.295721	45.6209
skew_M_AU09_r	69	0.0779771	0.338408	0.0764266	0.306594	0.230423	0.949545	0.04	0.127451	1.32408	1.03274	0.699524	0.835168	0.293059	48.9489
kurtosis_M_AU09_r	70	0.0876264	0.340682	0.0875293	0.308425	0.257209	1.07653	0.03	0.169208	1.75789	1.40469	0.957532	0.893729	0.294247	48.1136
min_M_AU14_r	71	0.0514828	0.501821	0.0686946	0.464246	0.102592	0.463847	0.06	0.0951343	0.988342	0.791847	0.562173	0.414584	0.305286	47.1669
max_M_AU14_r	72	0.0963678	0.50269	0.0834445	0.465038	0.191704	0.833051	0.03	0.15541	1.61454	1.27405	0.861653	0.45516	0.279165	47.8591
sd_M_AU14_r	73	0.131253	0.503146	0.134681	0.465371	0.260865	1.20521	0.07	0.180828	1.8786	1.52072	1.04018	0.968328	0.300339	43.5112
mean_M_AU14_r	74	0.14842	0.463935	0.142509	0.431763	0.319914	1.40256	0.08	0.226216	2.35014	2.02765	1.27067	2.25396	0.344455	44.6033
md_M_AU14_r	75	0.111617	0.461274	0.113978	0.428367	0.241975	1.05958	0.08	0.179739	1.86729	1.50961	1.04018	1.81648	0.336105	45.7714
skew_M_AU14_r	76	-0.00322999	0.382402	-0.0126337	0.355298	-0.00844657	-0.0330506	-0.01	0.00980392	0.101852	0.337774	0.311122	-0.683925	0.297428	47.0356
kurtosis_M_AU14_r	77	0.00620433	0.373988	-0.00146518	0.346136	0.0165896	0.0548033	-0.02	0.0163399	0.169753	0.363911	0.314693	-0.597272	0.29034	47.274
min_H_AU15_r	78	0.0571649	0.528523	0.067846	0.489401	0.10816	0.461775	0.04	0.0820625	0.852539	0.705628	0.517745	0.838932	0.304341	34.6949
max_H_AU15_r	79	0.0325042	0.464221	0.0288521	0.431745	0.0700189	0.333832	0.02	0.0490196	0.50926	0.515295	0.386895	-0.16838	0.279658	44.9441
sd_H_AU15_r	80	-0.00309934	0.472614	-0.0142106	0.436749	-0.00655786	-0.0427713	-0.02	0.0283224	0.294239	0.415344	0.336162	-0.583232	0.301922	31.4172
mean_H_AU15_r	81	-0.0579637	0.459975	-0.0746864	0.424958	-0.126015	-0.559398	-0.03	0.0987654	1.02606	0.816928	0.564747	-1.0106	0.319361	26.6525
md_H_AU15_r	82	-0.0520189	0.477858	-0.0501681	0.436449	-0.108858	-0.504075	-0.07	0.0867829	0.901579	0.736032	0.536029	-0.938006	0.313916	33.522
skew_H_AU15_r	83	0.100468	0.443792	0.107764	0.412659	0.226387	0.963356	0.06	0.173929	1.80693	1.45116	0.996704	0.634392	0.288868	42.6041
kurtosis_H_AU15_r	84	0.0988058	0.44504	0.110426	0.414054	0.222015	0.887634	0.05	0.177923	1.84843	1.4912	1.02931	0.658949	0.290738	42.8287
min_M_AU15_r	85	-0.0149246	0.541256	-0.0140795	0.497943	-0.0275739	-0.170441	-0.04	0.00508351	0.0528122	0.319718	0.306596	0.613956	0.285798	49.7672
max_M_AU15_r	86	0.0500235	0.533471	0.0462907	0.490085	0.0937698	0.372979	0.04	0.0649964	0.675241	0.602475	0.445352	0.214812	0.291234	48.3565
sd_M_AU15_r	87	0.0221779	0.456723	0.0315404	0.416111	0.0485588	0.256055	0.09	0.043573	0.452676	0.487594	0.372875	0.010702	0.310344	49.3337
mean_M_AU15_r	88	0.0375498	0.412929	0.0437935	0.376859	0.0909352	0.422019	0.08	0.0708061	0.735598	0.636411	0.46418	0.180593	0.303158	47.3756
md_M_AU15_r	89	0.080904	0.439107	0.0850667	0.397798	0.184247	0.876696	0.11	0.152869	1.58814	1.25082	0.851589	0.27551	0.293303	47.9104
skew_M_AU15_r	90	0.012001	0.566492	0.00324717	0.529667	0.0211848	0.0930819	0.02	0.0112564	0.116941	0.343467	0.312628	0.21629	0.282147	47.1597
kurtosis_M_AU15_r	91	0.0113551	0.460979	-0.00429117	0.430554	0.0246326	0.132843	-0.01	0.00145243	0.0150892	0.30629	0.30629	0.0661616	0.289801	47.2519
min_H_AU17_r	92	0.0862909	0.353887	0.0857872	0.323805	0.243838	1.13613	0.09	0.185911	1.93142	1.57323	1.04881	1.09893	0.307397	36.9517
max_H_AU17_r	93	0.0280276	0.468419	0.017601	0.430102	0.0598344	0.265371	0.06	0.033406	0.347051	0.438569	0.34998	-0.0119075	0.284192	48.5382
sd_H_AU17_r	94	0.148087	0.54114	0.141984	0.500678	0.273657	1.17221	0.1	0.18228	1.89369	1.53562	1.04018	1.06752	0.302434	48.9343
mean_H_AU17_r	95	0.248122	0.552867	0.243913	0.513658	0.448792	1.90956	0.15	0.306463	3.18382	3.13863	1.91332	1.72141	0.352235	44.8861
md_H_AU17_r	96	0.240975	0.490215	0.249676	0.449667	0.491569	2.13954	0.22	0.386347	4.01372	4.52456	2.60028	1.83115	0.37408	36.3972
skew_H_AU17_r	97	-0.113702	0.427891	-0.118939	0.388121	-0.265728	-1.211	-0.09	0.230211	2.39164	2.07641	1.27067	-1.59289	0.33811	41.1113
kurtosis_H_AU17_r	98	-0.110985	0.394354	-0.107528	0.359654	-0.281436	-1.25026	-0.09	0.218591	2.27092	1.93645	1.21264	-1.78638	0.341783	39.0874
min_M_AU17_r	99	-0.0611455	0.505085	-0.0470792	0.460585	-0.12106	-0.546058	-0.06	0.108569	1.12792	0.887135	0.611216	-0.250975	0.294273	47.9981
max_M_AU17_r	100	0.129148	0.379617	0.142453	0.354222	0.340206	1.46347	0.09	0.253086	2.62929	2.36874	1.41256	1.21357	0.328994	40.5355
sd_M_AU17_r	101	0.326372	0.652041	0.326061	0.613368	0.50054	2.05636	0.19	0.271242	2.81791	2.61674	1.53756	2.61961	0.370112	26.7235
mean_M_AU17_r	102	0.313093	0.610573	0.306724	0.575495	0.512786	2.10792	0.09	0.353304	3.67045	3.91698	2.29374	3.67599	0.389948	29.8795
md_M_AU17_r	103	0.29318	0.631288	0.286216	0.593942	0.464415	1.90328	0.08	0.341322	3.54596	3.70865	2.26149	3.58016	0.374811	28.1991
skew_M_AU17_r	104	0.0530721	0.37719	0.049805	0.347132	0.140704	0.604496	0.03	0.123457	1.28258	1.00078	0.678566	-0.0940681	0.271352	47.8021
kurtosis_M_AU17_r	105	0.0354195	0.320202	0.0330399	0.294915	0.110616	0.477441	0.05	0.0994916	1.03361	0.822004	0.564747	-0.0683126	0.277434	48.5437
min_H_AU20_r	106	-0.0900158	0.536987	-0.0884239	0.491495	-0.167631	-0.776908	-0.05	0.132171	1.37312	1.07131	0.732488	-1.57635	0.316569	41.0835
max_H_AU20_r	107	0.0559136	0.292966	0.0672842	0.268915	0.190854	0.880299	0.06	0.160857	1.67113	1.3247	0.891779	0.393299	0.287136	46.5893
sd_H_AU20_r	108	0.0455801	0.295979	0.0464993	0.271048	0.153998	0.764194	0.03	0.141249	1.46742	1.14794	0.797697	0.355844	0.285574	45.9543
mean_H_AU20_r	109	-0.0409541	0.391384	-0.0346548	0.361075	-0.104639	-0.505059	-0.03	0.0610022	0.633746	0.579841	0.430078	-0.381019	0.286522	45.1605
md_H_AU20_r	110	-0.0989219	0.446051	-0.0950714	0.408696	-0.221773	-1.01389	-0.05	0.184822	1.9201	1.56189	1.04881	-1.13723	0.315666	30.2902
skew_H_AU20_r	111	0.0585387	0.310312	0.071037	0.283232	0.188645	0.935661	0.08	0.144154	1.4976	1.17316	0.811172	0.438642	0.280884	46.9879
kurtosis_H_AU20_r	112	0.0596808	0.300584	0.0750466	0.275126	0.19855	0.93537	0.09	0.159768	1.65981	1.31447	0.888502	0.38663	0.28745	46.81
min_M_AU20_r	113	-0.117932	0.52685	-0.12466	0.493741	-0.223844	-0.95384	-0.08	0.168119	1.74657	1.3941	0.954116	-1.24923	0.311792	46.618
max_M_AU20_r	114	-0.0084354	0.475983	-0.0118036	0.433737	-0.0177221	-0.0857019	-0.04	0.00689906	0.0716736	0.326582	0.309407	-0.785459	0.29676	47.9893
sd_M_AU20_r	115	-0.00199402	0.535411	-0.00953116	0.495367	-0.00372428	0.0138858	-0.05	0.00798838	0.0829905	0.330749	0.309559	-0.573229	0.293878	48.5088
mean_M_AU20_r	116	-0.0900785	0.550807	-0.099107	0.505722	-0.163539	-0.698219	-0.06	0.150327	1.56173	1.22786	0.847646	-1.26098	0.311574	34.4956
md_M_AU20_r	117	-0.107667	0.410962	-0.10712	0.376959	-0.261987	-1.19472	-0.06	0.189906	1.97291	1.61524	1.06203	-1.47072	0.317958	33.0991
skew_M_AU20_r	118	0.0184767	0.370408	0.0230463	0.333045	0.0498822	0.232409	0.09	0.0359477	0.373457	0.450501	0.355526	-0.438716	0.281232	46.9394
kurtosis_M_AU20_r	119	0.0174324	0.33165	0.0212696	0.295472	0.0525626	0.255999	0.06	0.0384895	0.399864	0.462649	0.361191	-0.405505	0.281607	46.9416
min_H_AU23_r	120	-0.159783	0.530343	-0.170852	0.493024	-0.301282	-1.27191	-0.08	0.205882	2.13889	1.78989	1.16664	-0.6156	0.274928	46.0702
max_H_AU23_r	121	-0.00103846	0.339266	0.000340358	0.301013	-0.00306092	0.0137871	0.02	0.00798838	0.0829905	0.330749	0.309559	-0.803136	0.283462	48.9879
sd_H_AU23_r	122	0.0370682	0.316827	0.0428244	0.287626	0.116998	0.518093	0.06	0.0755265	0.784638	0.664877	0.484891	0.0460618	0.291518	47.7227
mean_H_AU23_r	123	0.0638282	0.409977	0.0588041	0.377809	0.155687	0.727348	0.05	0.122004	1.26749	0.98932	0.674971	0.757984	0.296764	46.3123
md_H_AU23_r	124	0.0852356	0.434473	0.0851975	0.403192	0.196182	0.868015	0.08	0.136892	1.42216	1.11075	0.766256	1.24116	0.312364	44.5618
skew_H_AU23_r	125	-0.0474826	0.343583	-0.0405975	0.310388	-0.138198	-0.600085	-0.04	0.0929557	0.965708	0.777036	0.560327	-1.6951	0.299996	47.9231
kurtosis_H_AU23_r	126	-0.0248839	0.32671	-0.0171142	0.296905	-0.0761652	-0.32715	-0.04	0.0584604	0.60734	0.56573	0.419602	-1.33987	0.287573	48.7155
min_H_AU25_r	127	0.0054383	0.375162	0.0104336	0.342187	0.0144959	0.0292018	0.05	0.0108932	0.113169	0.342038	0.312628	-0.724825	0.289216	46.4683
max_H_AU25_r	128	-0.0568842	0.513283	-0.0563656	0.473306	-0.110824	-0.451303	-0.01	0.0649964	0.675241	0.602475	0.445352	-1.07729	0.31221	46.3141
sd_H_AU25_r	129	0.0208339	0.505875	0.026485	0.458652	0.041184	0.175796	0.05	0.0384895	0.399864	0.462649	0.361191	-0.413929	0.291592	47.0857
mean_H_AU25_r	130	0.0648541	0.448814	0.080056	0.404582	0.144501	0.610817	0.05	0.0951343	0.988342	0.791847	0.562173	-0.22801	0.2833	47.6585
md_H_AU25_r	131	0.0377349	0.408158	0.0544304	0.371849	0.0924516	0.398902	0.04	0.0784314	0.814816	0.682796	0.49888	-0.386938	0.285047	44.3506
skew_H_AU25_r	132	-0.0556169	0.511583	-0.0621757	0.476744	-0.108715	-0.481063	-0.02	0.0958606	0.995887	0.796824	0.562173	-0.580433	0.297291	48.49
kurtosis_H_AU25_r	133	-0.0767067	0.458537	-0.0838059	0.424621	-0.167286	-0.725053	-0.03	0.126725	1.31653	1.02688	0.6992	-0.947448	0.30184	46.3608
min_M_AU25_r	134	0.0482958	0.436933	0.0420101	0.39882	0.110534	0.501807	0.06	0.0566449	0.588478	0.55579	0.413266	0.437561	0.290627	46.9544
max_M_AU25_r	135	0.152539	0.476874	0.169601	0.442028	0.319874	1.3186	0.11	0.236383	2.45577	2.15309	1.28951	1.08274	0.297915	47.3071
sd_M_AU25_r	136	0.129268	0.477212	0.134066	0.440219	0.270881	1.0812	0.12	0.151779	1.57682	1.24095	0.851207	1.07607	0.317535	47.6834
mean_M_AU25_r	137	0.158972	0.383347	0.165735	0.351386	0.414696	1.75801	0.11	0.323166	3.35734	3.40508	2.13402	2.35914	0.389348	41.2291
md_M_AU25_r	138	0.131942	0.364567	0.139381	0.337764	0.361914	1.51555	0.08	0.267974	2.78396	2.57105	1.52183	2.19026	0.363395	39.9299
skew_M_AU25_r	139	0.0594035	0.453761	0.0595315	0.424176	0.130914	0.551322	0.05	0.0936819	0.973253	0.781954	0.560327	-0.0340251	0.270424	44.8584
kurtosis_M_AU25_r	140	0.0568834	0.411638	0.0559098	0.383604	0.138188	0.562669	0.04	0.115832	1.20336	0.941506	0.637331	0.0941563	0.270273	48.2561
min_H_AU26_r	141	0.00864884	0.369121	0.00274749	0.336991	0.0234309	0.166193	0.06	0.0181554	0.188615	0.371409	0.316275	0.611053	0.288688	48.4207
max_H_AU26_r	142	-0.112968	0.396611	-0.114346	0.364337	-0.284834	-1.25523	-0.05	0.229121	2.38032	2.06304	1.27067	-2.32338	0.332651	30.2386
sd_H_AU26_r	143	-0.104732	0.493548	-0.0941578	0.450938	-0.212203	-0.963791	-0.05	0.141249	1.46742	1.14794	0.797697	-1.80974	0.316905	30.9228
mean_H_AU26_r	144	-0.00706078	0.476756	0.00193303	0.436886	-0.0148101	-0.0235746	0.05	0.0261438	0.271605	0.405649	0.332628	-0.320725	0.295938	41.6526
md_H_AU26_r	145	0.0236721	0.473391	0.0170286	0.434636	0.0500055	0.277161	0.04	0.00653595	0.0679014	0.325201	0.309407	0.549227	0.291715	44.2543
skew_H_AU26_r	146	-0.110667	0.405309	-0.117421	0.374049	-0.273044	-1.16209	-0.08	0.186638	1.93896	1.58082	1.04881	-2.57054	0.329364	30.5588
kurtosis_H_AU26_r	147	-0.0869589	0.32166	-0.0920356	0.298042	-0.270344	-1.11873	-0.1	0.190269	1.97668	1.61909	1.06203	-2.26268	0.332161	39.3962
min_M_AU26_r	148	-0.105235	0.44589	-0.117007	0.411791	-0.236011	-0.969546	-0.07	0.180102	1.87106	1.51331	1.04018	-1.89696	0.339739	42.0166
max_M_AU26_r	149	0.161893	0.381463	0.175235	0.353878	0.424401	1.92278	0.14	0.337328	3.50446	3.64061	2.2604	1.30259	0.330227	44.6817
sd_M_AU26_r	150	0.177493	0.416319	0.184764	0.383982	0.426338	1.88474	0.2	0.296659	3.08197	2.98793	1.80401	2.01466	0.37396	46.1176
mean_M_AU26_r	151	0.192323	0.535187	0.179178	0.492555	0.359357	1.55543	0.13	0.257807	2.67833	2.43186	1.41256	2.59883	0.356165	40.6632
md_M_AU26_r	152	0.219921	0.550718	0.212043	0.510781	0.399336	1.70205	0.13	0.292302	3.0367	2.9223	1.77617	2.90797	0.358231	35.7037
skew_M_AU26_r	153	0.104934	0.419348	0.105801	0.390407	0.25023	1.14156	0.05	0.209877	2.18039	1.83522	1.18969	0.293488	0.281841	45.1536
kurtosis_M_AU26_r	154	0.129708	0.415882	0.126049	0.388691	0.311888	1.38903	0.1	0.230574	2.39541	2.08087	1.27067	0.651515	0.285592	46.4994
min_H_AU45_r	155	0.00858788	0.503918	0.00544172	0.460151	0.0170422	0.0637138	0.06	0.0174292	0.18107	0.368398	0.316275	0.700718	0.287527	45.7983
max_H_AU45_r	156	0.126656	0.418739	0.117786	0.385642	0.30247	1.32751	0.09	0.216049	2.24452	1.90659	1.21264	1.00329	0.284634	48.2714
sd_H_AU45_r	157	0.0824214	0.409157	0.077342	0.380159	0.201442	0.889011	0.03	0.144154	1.4976	1.17316	0.811172	0.747013	0.282372	48.1716
mean_H_AU45_r	158	0.0659021	0.416173	0.0466913	0.385118	0.158353	0.703501	0.05	0.104212	1.08265	0.855482	0.584415	1.15529	0.290874	42.5173
md_H_AU45_r	159	0.0264104	0.438661	0.0142621	0.401689	0.0602068	0.278446	0.04	0.0261438	0.271605	0.405649	0.332628	0.974655	0.299631	45.1282
