Feature	SortIndex	Mean_W	StErr_W	Mean_W_GM	StErr_W_GM	CVratio	CVratio_GM	P_Relia95CI_GM	SignConst	Z_SignConst	P_SignConst	Pfdr_SignConst	Spearman_GM	Pearson_GM	P_Spearman_GM	P_Pearson_GM	Pfdr_Spearman_GM	Pfdr_Pearson_GM	FeatSelProb	Z_Perm	P_PermProb	Pfdr_PermProb
sd_M_LOF	18	-0.112169	0.0826571	-0.119282	0.0481034	-1.35704	-10.2404	-0.84	0.792446	3.01478	2.89081	2.58978	0.0368212	0.0271989	0.147295	0.120817	0.0274359	0.0221533	1	-1.55025	0.599875	17.1649
sd_H_ROF	19	-0.0562986	0.0833474	-0.0479302	0.053414	-0.675469	-4.85893	-0.54	0.529153	2.01311	1.65656	1.46467	-0.134484	-0.177569	0.615026	0.921292	0.233738	0.397933	1	-0.788815	0.339193	26.2503
sd_M_ROF	20	0.20404	0.0878988	0.214262	0.0567692	2.3213	15.6651	0.97	0.939861	3.5756	3.75767	3.26476	-0.0581005	-0.0306206	0.212279	0.125271	0.0390624	0.0223275	1	2.93991	1.10388	6.65544
kurtosis_H_LOF	21	0.147456	0.0817995	0.139976	0.0543297	1.80265	11.6399	0.93	0.96223	3.6607	3.90044	3.26476	0.187403	0.17433	0.99095	0.896589	0.468691	0.420758	1	0.406797	0.0336545	53.6734
kurtosis_M_LOF	22	0.0260382	0.0695897	0.0246063	0.0372664	0.374167	1.99835	0.56	0.294096	1.11886	0.880742	0.852237	0.00455691	-0.0045951	0.0814548	0.06917	0.0161862	0.0171352	1	0.1223	0.00845722	54
kurtosis_H_ROF	23	-0.188969	0.090237	-0.184421	0.0678506	-2.09415	-11.2005	-0.99	0.975431	3.71092	3.9861	3.26476	-0.0410121	-0.0924948	0.148559	0.371972	0.0241392	0.0774921	1	-0.519937	0.069332	49.8363
kurtosis_M_ROF	24	-0.276892	0.113268	-0.285172	0.0787249	-2.44457	-16.5373	-1	0.996333	3.79044	4.12384	3.26476	0.00878563	-0.0091446	0.0944723	0.0867496	0.0170513	0.0176454	1	-1.0012	0.27792	29.4213
skew_H_LOF	25	0.136427	0.101722	0.150196	0.0658925	1.34118	13.3599	0.86	0.778878	2.96316	2.81744	2.54638	0.191795	0.206037	1.03042	1.15284	0.480871	0.540499	1	1.56306	0.58442	19.5786
skew_M_LOF	26	-0.0681458	0.0919059	-0.0653399	0.0610531	-0.741473	-4.62823	-0.57	0.503117	1.91405	1.55585	1.40972	0.0187972	-0.0018198	0.0944723	0.077153	0.0174914	0.0166073	1	-0.461509	0.166541	41.5455
skew_H_ROF	27	0.0917353	0.103567	0.0891389	0.0700174	0.885762	5.08344	0.47	0.614962	2.33956	2.01532	1.79861	0.0393033	-0.00676903	0.144031	0.0861353	0.0241392	0.017796	1	0.987085	0.130128	48.5641
skew_M_ROF	28	0.0485055	0.107698	0.036524	0.0737766	0.450384	1.81605	0.42	0.220389	0.838445	0.697041	0.697041	-0.00569613	0.0241701	0.0818233	0.0894502	0.0174914	0.0179773	1	0.317343	0.226146	38.9847
