Feature	SortIndex	Mean_W	StErr_W	Mean_W_GM	StErr_W_GM	CVratio	CVratio_GM	P_Relia95CI_GM	SignConst	Z_SignConst	P_SignConst	Pfdr_SignConst	Z_Perm	P_PermProb	Pfdr_PermProb
min_H_AU06_r	29	-0.0753395	0.529519	-0.0900447	0.483468	-0.142279	-0.59578	-0.06	0.127451	1.37539	1.07312	0.657603	-0.433911	0.304374	52.4773
max_H_AU06_r	30	0.0091477	0.288902	0.00675801	0.250952	0.0316637	0.272831	0.04	0.0286855	0.309561	0.421994	0.369871	0.869994	0.296873	45.0797
sd_H_AU06_r	31	-0.0725818	0.328754	-0.0636352	0.286078	-0.220778	-1.01086	-0.07	0.165214	1.78291	1.42829	0.807731	-0.702354	0.316109	46.7773
mean_H_AU06_r	32	-0.209702	0.427263	-0.211564	0.383319	-0.490804	-2.26186	-0.25	0.361656	3.90281	4.32294	2.57475	-2.24211	0.39274	36.9304
md_H_AU06_r	33	-0.169871	0.416026	-0.151629	0.377122	-0.408319	-1.82965	-0.18	0.27451	2.96238	2.81634	1.70498	-1.7356	0.364672	40.1231
skew_H_AU06_r	34	0.0818287	0.26087	0.0718761	0.237969	0.313675	1.35101	0.07	0.208424	2.24921	1.91188	1.14897	1.87686	0.322324	37.3861
kurtosis_H_AU06_r	35	0.0776931	0.250178	0.0665927	0.228076	0.310551	1.34308	0.07	0.19281	2.08072	1.72746	1.01236	1.89126	0.319307	42.1753
min_M_AU06_r	36	0.0218047	0.382462	0.0339479	0.349504	0.0570115	0.318014	0.06	0.0831518	0.897334	0.733368	0.481186	0.69554	0.295242	50.7634
max_M_AU06_r	37	-0.300433	0.502263	-0.298804	0.467327	-0.598158	-2.65275	-0.25	0.459332	4.95689	6.44593	4.22062	-3.05505	0.423939	36.2575
sd_M_AU06_r	38	-0.2831	0.493205	-0.290712	0.454383	-0.574	-2.60644	-0.26	0.431373	4.65516	5.79086	3.86658	-3.15824	0.418027	38.4024
mean_M_AU06_r	39	-0.265571	0.51948	-0.25164	0.472158	-0.511225	-2.28027	-0.27	0.343137	3.70297	3.97247	2.52531	-2.40539	0.383497	33.3026
md_M_AU06_r	40	-0.185469	0.460675	-0.167401	0.417207	-0.402603	-1.82397	-0.17	0.253813	2.73902	2.51129	1.54126	-1.593	0.358158	42.6334
skew_M_AU06_r	41	-0.0357601	0.371825	-0.0351327	0.338146	-0.0961746	-0.39031	-0.03	0.0784314	0.846394	0.701875	0.472201	-0.859395	0.287759	51.2569
kurtosis_M_AU06_r	42	-0.0334509	0.372789	-0.0430287	0.331891	-0.0897314	-0.320653	-0.03	0.0744372	0.80329	0.675916	0.467144	-0.710289	0.287663	51.2382
min_H_AU07_r	43	0.0268159	0.366902	0.0263202	0.333896	0.0730873	0.335918	0.09	0.0668119	0.721002	0.628094	0.433563	0.376999	0.287658	51.0361
max_H_AU07_r	44	-0.0765756	0.425656	-0.0553627	0.387737	-0.1799	-0.73728	-0.09	0.139797	1.50862	1.18245	0.703103	-1.23753	0.307033	45.8356
sd_H_AU07_r	45	-0.214875	0.533852	-0.209278	0.48387	-0.402498	-1.83368	-0.14	0.312636	3.37382	3.43102	2.20571	-2.32197	0.359825	40.0501
mean_H_AU07_r	46	-0.14544	0.479204	-0.145356	0.432757	-0.303504	-1.46179	-0.11	0.234931	2.53526	2.25041	1.38682	-1.54551	0.338824	38.1796
md_H_AU07_r	47	-0.100351	0.447149	-0.097804	0.4043	-0.224424	-1.11851	-0.07	0.172476	1.86128	1.50373	0.858207	-1.08897	0.313896	38.8725
skew_H_AU07_r	48	0.0252155	0.39806	0.0154697	0.350557	0.063346	0.313205	0.08	0.0508351	0.548588	0.535147	0.413908	-0.238148	0.294057	51.4949
kurtosis_H_AU07_r	49	0.0243377	0.354354	0.0156095	0.312125	0.0686817	0.345429	0.1	0.0591866	0.638714	0.582521	0.421484	-0.0904069	0.296382	50.7741
min_M_AU07_r	50	0.013767	0.478143	0.0211227	0.425102	0.0287926	0.132212	0.09	0.013435	0.144984	0.354222	0.33031	-0.237962	0.289878	51.6134
max_M_AU07_r	51	-0.176232	0.457063	-0.182484	0.418522	-0.385574	-1.76816	-0.15	0.30719	3.31504	3.33899	2.15508	-1.92883	0.366587	39.1888
sd_M_AU07_r	52	-0.189582	0.423992	-0.186408	0.384353	-0.447136	-2.19981	-0.2	0.328613	3.54623	3.7091	2.38688	-2.20874	0.377182	48.7106
mean_M_AU07_r	53	-0.137827	0.478179	-0.130511	0.431196	-0.288233	-1.38262	-0.13	0.198983	2.14733	1.79906	1.06085	-1.40499	0.320646	45.3669
md_M_AU07_r	54	-0.125767	0.514978	-0.0985012	0.466857	-0.244218	-1.10185	-0.11	0.160131	1.72805	1.37686	0.78502	-1.06424	0.31322	45.6315
skew_M_AU07_r	55	-0.0623288	0.414435	-0.0591383	0.381281	-0.150395	-0.69159	-0.07	0.100581	1.08542	0.857399	0.551168	-0.715329	0.295038	51.8912
kurtosis_M_AU07_r	56	-0.0362914	0.407298	-0.030055	0.378639	-0.0891029	-0.371204	-0.01	0.0541031	0.583855	0.553371	0.421484	-0.307168	0.287732	52.0557
min_H_AU09_r	57	-0.0989815	0.3726	-0.0995502	0.335742	-0.265651	-1.1745	-0.15	0.218591	2.35893	2.03792	1.24604	-1.25352	0.322258	48.7129
max_H_AU09_r	58	0.0125253	0.426153	0.0212504	0.393185	0.0293914	0.172224	0.05	0.0613653	0.662225	0.595314	0.423083	-0.00202053	0.284635	51.2696
sd_H_AU09_r	59	0.0657967	0.485531	0.0773355	0.445039	0.135515	0.581117	0.07	0.130719	1.41066	1.10142	0.661443	0.477666	0.279169	51.1949
mean_H_AU09_r	60	-0.0443325	0.436269	-0.0362102	0.399316	-0.101618	-0.46801	-0.04	0.0835149	0.901252	0.735827	0.481186	-0.509066	0.276028	48.2647
md_H_AU09_r	61	-0.0734124	0.516917	-0.0809912	0.47366	-0.14202	-0.703499	-0.07	0.130719	1.41066	1.10142	0.661443	-0.700098	0.285613	46.8912
skew_H_AU09_r	62	0.0112392	0.339208	0.0186758	0.310058	0.0331337	0.135898	0.05	0.0508351	0.548588	0.535147	0.413908	0.0202356	0.287649	51.2497
kurtosis_H_AU09_r	63	0.00439934	0.333295	0.0195574	0.303844	0.0131995	0.0325771	0.05	0.0265069	0.28605	0.411818	0.363806	-0.0848073	0.290623	51.6961
min_M_AU09_r	64	-0.0696808	0.492696	-0.0667658	0.451131	-0.141428	-0.635477	-0.08	0.0936819	1.01097	0.806833	0.516022	-0.502296	0.286161	51.5075
max_M_AU09_r	65	0.0538014	0.49314	0.0500576	0.449325	0.1091	0.476951	0.09	0.073711	0.795453	0.671264	0.467144	0.782251	0.282136	51.5275
sd_M_AU09_r	66	0.075233	0.565866	0.0732153	0.515962	0.132952	0.599526	0.06	0.0842411	0.909089	0.740761	0.481186	0.610228	0.280331	51.4638
mean_M_AU09_r	67	-0.00979275	0.451643	-0.017017	0.419456	-0.0216825	-0.0904395	-0.01	0.0250545	0.270376	0.405126	0.361661	-0.151072	0.266066	52.45
md_M_AU09_r	68	-0.015761	0.409399	-0.0164873	0.380616	-0.038498	-0.121796	-0.03	0.0217865	0.235109	0.390339	0.352551	-0.187646	0.275256	52.7227
skew_M_AU09_r	69	0.0566253	0.45176	0.0539243	0.415388	0.125344	0.573545	0.05	0.0984023	1.06191	0.841221	0.540191	0.923018	0.296993	49.8571
kurtosis_M_AU09_r	70	0.0591835	0.424177	0.0527971	0.385221	0.139525	0.667353	0.06	0.119099	1.28526	1.00283	0.616372	1.14779	0.30128	46.9533
min_M_AU14_r	71	-0.00230843	0.63644	0.00285935	0.591023	-0.0036271	-0.0174902	0.02	0.0290487	0.313479	0.423707	0.369871	-0.0285482	0.284383	52.0963
max_M_AU14_r	72	-0.0709748	0.420188	-0.0533433	0.384197	-0.168912	-0.743655	-0.06	0.116195	1.25392	0.979075	0.611204	-1.4951	0.298583	47.8485
sd_M_AU14_r	73	-0.108712	0.410594	-0.103145	0.379487	-0.264768	-1.13691	-0.07	0.17284	1.8652	1.50757	0.858207	-1.82536	0.318961	33.6795
mean_M_AU14_r	74	-0.175957	0.444843	-0.167113	0.413679	-0.395549	-1.68866	-0.13	0.263617	2.84482	2.65329	1.62143	-1.84531	0.34472	43.6604
md_M_AU14_r	75	-0.138725	0.482129	-0.122388	0.447805	-0.287735	-1.22747	-0.06	0.176107	1.90047	1.54233	0.865558	-1.30122	0.31536	48.5355
skew_M_AU14_r	76	0.0291538	0.379071	0.0258894	0.345558	0.0769086	0.303298	0.07	0.0544662	0.587773	0.555421	0.421484	-0.398295	0.27336	51.8018
kurtosis_M_AU14_r	77	0.0249881	0.351897	0.0263431	0.317597	0.0710098	0.254566	0.07	0.0472041	0.509404	0.515366	0.413908	-0.585634	0.274281	51.2595
min_H_AU15_r	78	0.0117755	0.423516	0.0115421	0.383107	0.027804	0.181577	0.03	0.0330428	0.356582	0.442851	0.384859	-0.265172	0.283399	50.1877
max_H_AU15_r	79	0.00813994	0.468764	0.00289243	0.42847	0.0173647	0.116696	0.06	0.00254176	0.0274294	0.310639	0.310639	-0.10988	0.276851	51.2543
sd_H_AU15_r	80	-0.0208325	0.488975	-0.0136689	0.45006	-0.0426043	-0.147785	-0.02	0.0472041	0.509404	0.515366	0.413908	-0.037595	0.27454	51.7079
mean_H_AU15_r	81	-0.0719451	0.492225	-0.0748666	0.453626	-0.146163	-0.638367	-0.06	0.123457	1.33229	1.03913	0.6399	-0.620346	0.292745	50.4239
md_H_AU15_r	82	-0.0837721	0.470793	-0.0589207	0.437362	-0.177938	-0.79584	-0.04	0.12963	1.3989	1.09194	0.659019	-0.513795	0.29994	51.1293
skew_H_AU15_r	83	0.0505859	0.43035	0.0467578	0.387772	0.117546	0.575068	0.07	0.0755265	0.815046	0.682934	0.467144	-0.0283408	0.274658	51.2962
kurtosis_H_AU15_r	84	0.056181	0.495328	0.0521053	0.448498	0.113422	0.512295	0.07	0.0642702	0.693573	0.612654	0.432668	-0.00678439	0.273729	51.3543
min_M_AU15_r	85	-0.108407	0.596794	-0.120263	0.546209	-0.181648	-0.785771	-0.07	0.143791	1.55172	1.21922	0.718185	-0.996771	0.306046	48.8804
max_M_AU15_r	86	-0.007529	0.507453	-0.0420309	0.464311	-0.0148369	-0.119905	-0.04	0.0584604	0.630877	0.578296	0.421484	0.414503	0.272194	51.272
sd_M_AU15_r	87	0.00602808	0.488852	0.00952608	0.444021	0.0123311	0.0183704	0.02	0.00399419	0.0431034	0.316224	0.312229	0.547601	0.283501	51.6529
mean_M_AU15_r	88	-0.0527377	0.412172	-0.0691383	0.375442	-0.127951	-0.528127	-0.05	0.111837	1.20689	0.944101	0.599605	-0.167962	0.291091	51.4058
md_M_AU15_r	89	-0.0336441	0.44253	-0.0396703	0.404812	-0.0760268	-0.30279	-0.04	0.0740741	0.799372	0.673587	0.467144	0.124142	0.277231	51.8796
skew_M_AU15_r	90	-0.0604027	0.543224	-0.0929899	0.492606	-0.111193	-0.584841	-0.05	0.10748	1.15987	0.909917	0.576703	-0.348301	0.289644	51.1749
kurtosis_M_AU15_r	91	-0.0421735	0.456819	-0.0605705	0.416816	-0.0923201	-0.483238	-0.07	0.0925926	0.999215	0.799025	0.513235	-0.12103	0.276466	51.1976
min_H_AU17_r	92	0.0630258	0.353279	0.0542004	0.322854	0.178402	0.798549	0.07	0.102033	1.1011	0.868293	0.551469	0.958805	0.304595	40.9581
max_H_AU17_r	93	-0.00995693	0.441817	-0.00244745	0.40228	-0.0225363	-0.0801175	-0.07	0.0225127	0.242946	0.393593	0.352976	0.0902489	0.286086	51.499
sd_H_AU17_r	94	-0.00823529	0.48596	-0.00482465	0.431946	-0.0169465	-0.144091	-0.16	0.00363108	0.0391849	0.314821	0.312229	0.19888	0.282016	52.0645
mean_H_AU17_r	95	0.071597	0.473856	0.0913015	0.428949	0.151094	0.593652	0.06	0.11329	1.22257	0.955671	0.599605	1.10012	0.295656	51.1334
md_H_AU17_r	96	0.107619	0.436956	0.132709	0.399039	0.246293	1.07407	0.09	0.221496	2.39028	2.0748	1.24743	1.27807	0.329852	51.2532
skew_H_AU17_r	97	-0.0677969	0.425865	-0.0684196	0.393144	-0.159198	-0.721286	-0.03	0.147785	1.59482	1.25668	0.720061	-0.502688	0.314593	51.7241
kurtosis_H_AU17_r	98	-0.0528853	0.415171	-0.0497063	0.38299	-0.127382	-0.559401	-0.03	0.124183	1.34012	1.04526	0.6399	-0.435705	0.305381	51.5257
min_M_AU17_r	99	-0.0664145	0.448157	-0.078633	0.417627	-0.148195	-0.618987	-0.08	0.0893246	0.963948	0.775892	0.495065	-0.688062	0.295148	51.3826
max_M_AU17_r	100	-0.0396904	0.478999	-0.0652392	0.433425	-0.0828612	-0.362541	-0.03	0.0860566	0.928682	0.753189	0.482122	-0.153126	0.277927	51.608
sd_M_AU17_r	101	-0.0117767	0.525333	-0.0173278	0.468533	-0.0224176	-0.257651	-0.08	0.0486565	0.525077	0.52322	0.413908	0.0338056	0.27796	51.5368
mean_M_AU17_r	102	0.0195177	0.528309	-0.00643077	0.477367	0.0369437	0.0442629	-0.08	0.00907771	0.0979622	0.336317	0.322929	0.531481	0.272455	51.6028
md_M_AU17_r	103	0.0529017	0.430789	0.0383682	0.393803	0.122802	0.495055	0.03	0.0566449	0.611284	0.567824	0.421484	1.14058	0.27683	51.4064
skew_M_AU17_r	104	-0.0747027	0.439749	-0.0967311	0.405307	-0.169876	-0.781924	-0.1	0.13907	1.50078	1.17583	0.703103	-0.778078	0.302011	51.7939
kurtosis_M_AU17_r	105	-0.0495625	0.3904	-0.0675958	0.360165	-0.126953	-0.626973	-0.07	0.127088	1.37147	1.07	0.657603	-0.49029	0.289481	51.6282
min_H_AU20_r	106	-0.0490349	0.427984	-0.0541198	0.390827	-0.114572	-0.539937	-0.06	0.0816993	0.88166	0.723583	0.475998	-0.794657	0.289389	52.2951
max_H_AU20_r	107	-0.042336	0.329543	-0.0405461	0.307007	-0.128469	-0.547673	-0.01	0.117647	1.26959	0.990909	0.611204	-0.139975	0.285345	51.256
sd_H_AU20_r	108	-0.0558599	0.323919	-0.0664088	0.298751	-0.17245	-0.646127	-0.06	0.145606	1.57131	1.23616	0.720061	-0.0534599	0.277894	51.324
mean_H_AU20_r	109	-0.0977788	0.467713	-0.115606	0.42644	-0.209057	-0.794797	-0.1	0.167756	1.81034	1.45443	0.820184	-0.365603	0.291579	50.5294
md_H_AU20_r	110	-0.0620204	0.383918	-0.0696621	0.354574	-0.161546	-0.636385	-0.06	0.128177	1.38323	1.07937	0.657603	-0.243589	0.286106	51.6883
skew_H_AU20_r	111	-0.0361891	0.349347	-0.0393555	0.321458	-0.103591	-0.484473	-0.03	0.108569	1.17163	0.918389	0.579571	-0.133777	0.281886	51.3057
kurtosis_H_AU20_r	112	-0.0348552	0.328255	-0.0457532	0.302689	-0.106184	-0.49714	-0.05	0.106028	1.1442	0.898698	0.576478	-0.263737	0.283434	51.2581
min_M_AU20_r	113	-0.118785	0.439421	-0.136676	0.403834	-0.270321	-1.28722	-0.1	0.250182	2.69984	2.45984	1.51328	-0.932844	0.317691	52.5728
max_M_AU20_r	114	0.00784161	0.443105	0.0321299	0.410601	0.017697	0.109744	0.04	0.0366739	0.395767	0.46075	0.39139	-0.476307	0.27547	51.6294
sd_M_AU20_r	115	-0.0515543	0.521538	-0.0642776	0.478771	-0.0988505	-0.433372	-0.07	0.0784314	0.846394	0.701875	0.472201	-0.490014	0.279322	51.1594
mean_M_AU20_r	116	-0.0878249	0.524046	-0.104394	0.4808	-0.16759	-0.734747	-0.05	0.15541	1.67711	1.33012	0.748267	-0.473935	0.300118	50.4478
md_M_AU20_r	117	-0.025914	0.445527	-0.0399239	0.410383	-0.0581647	-0.246778	-0.04	0.0595497	0.642632	0.58464	0.421484	-0.0154437	0.304903	51.0763
skew_M_AU20_r	118	0.0304834	0.36642	0.0364758	0.333408	0.0831925	0.422757	0.01	0.0867829	0.936519	0.758197	0.482278	-0.541663	0.272544	51.6161
kurtosis_M_AU20_r	119	0.0477752	0.351096	0.0559805	0.316212	0.136075	0.684993	0.07	0.119826	1.2931	1.00883	0.616372	-0.347165	0.273039	51.8247
min_H_AU23_r	120	-0.087298	0.438247	-0.0862308	0.405222	-0.199198	-0.927595	-0.06	0.164125	1.77116	1.41717	0.807731	-1.03885	0.307919	43.2287
max_H_AU23_r	121	0.00768367	0.343076	0.0165765	0.306186	0.0223964	0.046397	0.02	0.0206972	0.223354	0.385493	0.350515	-0.0319605	0.288858	51.4805
sd_H_AU23_r	122	0.0326126	0.339279	0.0311398	0.302123	0.0961233	0.393085	0.03	0.0424837	0.458463	0.490381	0.398611	0.610663	0.282433	51.4989
mean_H_AU23_r	123	0.0932269	0.427817	0.0890225	0.392954	0.217913	1.00457	0.05	0.19862	2.14341	1.7948	1.06085	1.47176	0.325149	50.6134
md_H_AU23_r	124	0.122876	0.381714	0.132845	0.353793	0.321906	1.41899	0.09	0.245461	2.6489	2.39386	1.46958	1.85825	0.351835	46.3658
skew_H_AU23_r	125	-0.0336137	0.321198	-0.0282607	0.293182	-0.104651	-0.501696	-0.03	0.115832	1.25	0.97613	0.611204	-0.925734	0.316965	52.5309
kurtosis_H_AU23_r	126	-0.0112051	0.309446	-0.0132252	0.282883	-0.0362101	-0.189728	-0.04	0.0646333	0.697491	0.614845	0.432668	-0.709041	0.300569	52.1222
min_H_AU25_r	127	-0.0820985	0.371371	-0.0763771	0.33709	-0.221069	-1.00078	-0.07	0.138707	1.49686	1.17254	0.703103	-1.42232	0.30137	50.5896
max_H_AU25_r	128	-0.00916137	0.452048	0.00210201	0.416737	-0.0202664	-0.104096	0.01	0.0105301	0.113636	0.342215	0.323731	0.133416	0.270201	51.7364
sd_H_AU25_r	129	-0.0211876	0.452253	-0.0142974	0.414783	-0.0468491	-0.220019	-0.05	0.0355846	0.384012	0.455331	0.39139	0.209466	0.261954	52.0075
mean_H_AU25_r	130	-0.017894	0.500396	-0.00577338	0.458222	-0.0357596	-0.147416	-0.06	0.0472041	0.509404	0.515366	0.413908	0.120872	0.264944	52.4444
md_H_AU25_r	131	-0.021431	0.466849	-0.0142576	0.426918	-0.0459057	-0.173164	-0.08	0.0548293	0.591692	0.557476	0.421484	-0.00290969	0.273681	52.311
skew_H_AU25_r	132	0.000129395	0.484418	-0.0158318	0.443601	0.000267115	0.0100435	-0.02	0.0185185	0.199843	0.375923	0.343738	0.159322	0.278932	51.8943
kurtosis_H_AU25_r	133	0.0217409	0.443805	0.0187046	0.409581	0.0489876	0.225275	0.04	0.0417574	0.450626	0.48661	0.398021	0.236726	0.284144	51.613
min_M_AU25_r	134	-0.0525558	0.439951	-0.0529697	0.407401	-0.119458	-0.462404	-0.07	0.0766158	0.826801	0.689998	0.467144	-0.713054	0.302474	50.422
max_M_AU25_r	135	-0.0484338	0.479023	-0.0557965	0.438422	-0.101109	-0.518532	-0.07	0.0947712	1.02273	0.814688	0.518798	-0.292084	0.283848	51.9048
sd_M_AU25_r	136	-0.048841	0.424183	-0.0499097	0.388503	-0.115141	-0.493552	-0.11	0.115468	1.24608	0.973191	0.611204	-0.0744679	0.277411	51.8993
mean_M_AU25_r	137	-0.00257641	0.415236	-0.0184065	0.38189	-0.00620468	-0.0194814	-0.1	0.0428468	0.462382	0.492274	0.398611	0.487339	0.272668	51.5468
md_M_AU25_r	138	0.0232291	0.424635	0.0127715	0.388727	0.0547037	0.22338	0.06	0.0261438	0.282131	0.410138	0.363806	0.648247	0.277039	51.5595
skew_M_AU25_r	139	-0.0527489	0.412436	-0.0542646	0.380461	-0.127896	-0.600476	-0.05	0.100581	1.08542	0.857399	0.551168	-0.833357	0.297567	51.659
kurtosis_M_AU25_r	140	-0.0202929	0.378386	-0.0230336	0.347895	-0.0536301	-0.271965	-0.06	0.0555556	0.599529	0.5616	0.421484	-0.570892	0.292737	51.2478
min_H_AU26_r	141	-0.103497	0.347262	-0.105524	0.319016	-0.298038	-1.31415	-0.07	0.23711	2.55877	2.27967	1.39678	-1.49803	0.344525	41.5977
max_H_AU26_r	142	0.0314793	0.428783	0.0325097	0.391897	0.0734154	0.328578	0.11	0.0580973	0.626958	0.576192	0.421484	0.831878	0.295113	50.8993
sd_H_AU26_r	143	0.0500681	0.484906	0.0593322	0.440858	0.103253	0.47059	0.12	0.0831518	0.897334	0.733368	0.481186	1.068	0.275841	51.5028
mean_H_AU26_r	144	0.0131175	0.448466	0.0300779	0.407901	0.0292498	0.0873161	0.08	0.00835149	0.0901252	0.333394	0.322929	0.715788	0.263398	51.1903
md_H_AU26_r	145	0.0171598	0.500307	0.023376	0.455966	0.0342985	0.170613	0.05	0.0148874	0.160658	0.360333	0.333681	0.796881	0.261637	51.7176
skew_H_AU26_r	146	-0.00398942	0.406638	0.00101993	0.370139	-0.00981073	-0.0995007	0.06	0.0108932	0.117555	0.3437	0.323731	-0.00592198	0.287092	51.1542
kurtosis_H_AU26_r	147	0.014599	0.330022	0.0184359	0.297158	0.0442364	0.168837	0.05	0.0341322	0.368338	0.448171	0.387215	0.343901	0.294006	51.4872
min_M_AU26_r	148	-0.0926983	0.407223	-0.0940071	0.369355	-0.227635	-1.02653	-0.1	0.163399	1.76332	1.40979	0.807731	-1.35049	0.310265	48.1712
max_M_AU26_r	149	0.170342	0.519884	0.158973	0.477206	0.327654	1.39217	0.08	0.226216	2.44122	2.13555	1.29046	1.68374	0.338471	39.207
sd_M_AU26_r	150	0.213512	0.454557	0.174099	0.414577	0.469714	2.02966	0.12	0.317357	3.42476	3.51191	2.24084	3.44618	0.349612	28.3367
mean_M_AU26_r	151	0.201701	0.430981	0.188814	0.393494	0.468005	2.03062	0.15	0.329339	3.55407	3.72202	2.38688	3.33491	0.357753	16.4932
md_M_AU26_r	152	0.18413	0.469297	0.183511	0.433237	0.392352	1.7238	0.14	0.260712	2.81347	2.61075	1.61589	2.74297	0.340291	27.5745
skew_M_AU26_r	153	0.0317593	0.445596	0.0298713	0.412153	0.0712737	0.363757	0.05	0.0628177	0.677899	0.603944	0.427852	-0.295693	0.268235	51.7753
kurtosis_M_AU26_r	154	0.0270245	0.434315	0.0373643	0.400531	0.0622233	0.305037	0.03	0.0533769	0.576018	0.549287	0.420887	-0.45549	0.273089	51.3908
min_H_AU45_r	155	0.0635957	0.485041	0.071919	0.442634	0.131114	0.635945	0.04	0.111837	1.20689	0.944101	0.599605	0.118355	0.285419	50.2568
