time,pitch,int
0.127,--undefined--,43.895
0.128,--undefined--,43.983
0.129,--undefined--,44.035
0.130,--undefined--,44.045
0.131,--undefined--,44.014
0.132,--undefined--,43.938
0.133,--undefined--,43.819
0.134,--undefined--,43.656
0.135,--undefined--,43.449
0.136,--undefined--,43.200
0.137,--undefined--,42.911
0.138,--undefined--,42.588
0.139,--undefined--,42.225
0.140,--undefined--,41.843
0.141,--undefined--,41.446
0.142,--undefined--,41.043
0.143,--undefined--,40.647
0.144,--undefined--,40.272
0.145,--undefined--,39.934
0.146,--undefined--,39.648
0.147,--undefined--,39.426
0.148,--undefined--,39.279
0.149,--undefined--,39.208
0.150,--undefined--,39.213
0.151,--undefined--,39.283
0.152,--undefined--,39.405
0.153,--undefined--,39.563
0.154,--undefined--,39.744
0.155,--undefined--,39.934
0.156,--undefined--,40.121
0.157,--undefined--,40.295
0.158,--undefined--,40.450
0.159,--undefined--,40.583
0.160,--undefined--,40.685
0.161,--undefined--,40.757
0.162,--undefined--,40.798
0.163,--undefined--,40.808
0.164,--undefined--,40.790
0.165,--undefined--,40.746
0.166,--undefined--,40.679
0.167,--undefined--,40.594
0.168,--undefined--,40.495
0.169,--undefined--,40.385
0.170,--undefined--,40.273
0.171,--undefined--,40.162
0.172,--undefined--,40.055
0.173,--undefined--,39.954
0.174,--undefined--,39.862
0.175,--undefined--,39.779
0.176,--undefined--,39.703
0.177,--undefined--,39.633
0.178,--undefined--,39.569
0.179,--undefined--,39.508
0.180,--undefined--,39.450
0.181,--undefined--,39.395
0.182,--undefined--,39.344
0.183,--undefined--,39.300
0.184,--undefined--,39.264
0.185,--undefined--,39.240
0.186,--undefined--,39.233
0.187,--undefined--,39.246
0.188,--undefined--,39.282
0.189,--undefined--,39.345
0.190,--undefined--,39.434
0.191,--undefined--,39.549
0.192,--undefined--,39.688
0.193,--undefined--,39.849
0.194,--undefined--,40.026
0.195,--undefined--,40.215
0.196,--undefined--,40.411
0.197,--undefined--,40.608
0.198,--undefined--,40.801
0.199,--undefined--,40.987
0.200,--undefined--,41.157
0.201,--undefined--,41.308
0.202,--undefined--,41.437
0.203,--undefined--,41.543
0.204,--undefined--,41.624
0.205,--undefined--,41.678
0.206,--undefined--,41.706
0.207,--undefined--,41.708
0.208,--undefined--,41.686
0.209,--undefined--,41.641
0.210,--undefined--,41.576
0.211,--undefined--,41.495
0.212,--undefined--,41.401
0.213,--undefined--,41.298
0.214,--undefined--,41.188
0.215,--undefined--,41.076
0.216,--undefined--,40.962
0.217,--undefined--,40.850
0.218,--undefined--,40.741
0.219,--undefined--,40.633
0.220,--undefined--,40.529
0.221,--undefined--,40.430
0.222,--undefined--,40.334
0.223,--undefined--,40.242
0.224,--undefined--,40.154
0.225,--undefined--,40.072
0.226,--undefined--,39.996
0.227,--undefined--,39.930
0.228,--undefined--,39.874
0.229,--undefined--,39.832
0.230,--undefined--,39.807
0.231,--undefined--,39.801
0.232,--undefined--,39.813
0.233,--undefined--,39.846
0.234,--undefined--,39.899
0.235,--undefined--,39.970
0.236,--undefined--,40.060
0.237,--undefined--,40.165
0.238,--undefined--,40.284
0.239,--undefined--,40.417
0.240,--undefined--,40.556
0.241,--undefined--,40.700
0.242,--undefined--,40.846
0.243,--undefined--,40.992
0.244,--undefined--,41.135
0.245,--undefined--,41.271
0.246,--undefined--,41.396
0.247,--undefined--,41.509
0.248,--undefined--,41.606
0.249,--undefined--,41.687
0.250,--undefined--,41.746
0.251,--undefined--,41.783
0.252,--undefined--,41.798
0.253,--undefined--,41.790
0.254,--undefined--,41.761
0.255,--undefined--,41.712
0.256,--undefined--,41.644
0.257,--undefined--,41.562
0.258,--undefined--,41.468
0.259,--undefined--,41.366
0.260,--undefined--,41.264
0.261,--undefined--,41.168
0.262,--undefined--,41.083
0.263,--undefined--,41.018
0.264,--undefined--,40.980
0.265,--undefined--,40.976
0.266,--undefined--,41.011
0.267,--undefined--,41.089
0.268,--undefined--,41.211
0.269,--undefined--,41.378
0.270,--undefined--,41.579
0.271,--undefined--,41.807
0.272,--undefined--,42.052
0.273,--undefined--,42.304
0.274,--undefined--,42.553
0.275,--undefined--,42.787
0.276,--undefined--,42.998
0.277,--undefined--,43.178
0.278,--undefined--,43.320
0.279,--undefined--,43.421
0.280,--undefined--,43.475
0.281,--undefined--,43.480
0.282,--undefined--,43.435
0.283,--undefined--,43.341
0.284,--undefined--,43.199
0.285,--undefined--,43.011
0.286,--undefined--,42.782
0.287,--undefined--,42.515
0.288,--undefined--,42.219
0.289,--undefined--,41.895
0.290,--undefined--,41.564
0.291,--undefined--,41.235
0.292,--undefined--,40.920
0.293,--undefined--,40.631
0.294,--undefined--,40.382
0.295,--undefined--,40.182
0.296,--undefined--,40.042
0.297,--undefined--,39.966
0.298,--undefined--,39.955
0.299,--undefined--,40.010
0.300,--undefined--,40.121
0.301,--undefined--,40.281
0.302,--undefined--,40.480
0.303,--undefined--,40.706
0.304,--undefined--,40.948
0.305,--undefined--,41.195
0.306,--undefined--,41.436
0.307,--undefined--,41.662
0.308,--undefined--,41.865
0.309,--undefined--,42.043
0.310,--undefined--,42.183
0.311,--undefined--,42.284
0.312,--undefined--,42.344
0.313,--undefined--,42.363
0.314,--undefined--,42.340
0.315,--undefined--,42.278
0.316,--undefined--,42.178
0.317,--undefined--,42.044
0.318,--undefined--,41.883
0.319,--undefined--,41.696
0.320,--undefined--,41.497
0.321,--undefined--,41.293
0.322,--undefined--,41.092
0.323,--undefined--,40.903
0.324,--undefined--,40.734
0.325,--undefined--,40.591
0.326,--undefined--,40.480
0.327,--undefined--,40.402
0.328,--undefined--,40.357
0.329,--undefined--,40.342
0.330,--undefined--,40.354
0.331,--undefined--,40.386
0.332,--undefined--,40.430
0.333,--undefined--,40.480
0.334,--undefined--,40.528
0.335,--undefined--,40.569
0.336,--undefined--,40.595
0.337,--undefined--,40.601
0.338,--undefined--,40.583
0.339,--undefined--,40.536
0.340,--undefined--,40.459
0.341,--undefined--,40.351
0.342,--undefined--,40.210
0.343,--undefined--,40.040
0.344,--undefined--,39.843
0.345,--undefined--,39.624
0.346,--undefined--,39.393
0.347,--undefined--,39.159
0.348,--undefined--,38.937
0.349,--undefined--,38.736
0.350,--undefined--,38.582
0.351,--undefined--,38.485
0.352,--undefined--,38.456
0.353,--undefined--,38.501
0.354,--undefined--,38.620
0.355,--undefined--,38.807
0.356,--undefined--,39.052
0.357,--undefined--,39.341
0.358,--undefined--,39.660
0.359,--undefined--,40.005
0.360,--undefined--,40.350
0.361,--undefined--,40.691
0.362,--undefined--,41.020
0.363,--undefined--,41.332
0.364,--undefined--,41.620
0.365,--undefined--,41.880
0.366,--undefined--,42.109
0.367,--undefined--,42.303
0.368,--undefined--,42.462
0.369,--undefined--,42.585
0.370,--undefined--,42.668
0.371,--undefined--,42.713
0.372,--undefined--,42.722
0.373,--undefined--,42.698
0.374,--undefined--,42.645
0.375,--undefined--,42.568
0.376,--undefined--,42.472
0.377,--undefined--,42.367
0.378,--undefined--,42.259
0.379,--undefined--,42.155
0.380,--undefined--,42.064
0.381,--undefined--,41.993
0.382,--undefined--,41.942
0.383,--undefined--,41.913
0.384,--undefined--,41.903
0.385,--undefined--,41.906
0.386,--undefined--,41.916
0.387,--undefined--,41.925
0.388,--undefined--,41.925
0.389,--undefined--,41.910
0.390,--undefined--,41.873
0.391,--undefined--,41.811
0.392,--undefined--,41.720
0.393,--undefined--,41.600
0.394,--undefined--,41.451
0.395,--undefined--,41.276
0.396,--undefined--,41.080
0.397,--undefined--,40.867
0.398,--undefined--,40.647
0.399,--undefined--,40.422
0.400,--undefined--,40.209
0.401,--undefined--,40.015
0.402,--undefined--,39.844
0.403,--undefined--,39.701
0.404,--undefined--,39.586
0.405,--undefined--,39.496
0.406,--undefined--,39.427
0.407,--undefined--,39.372
0.408,--undefined--,39.320
0.409,--undefined--,39.263
0.410,--undefined--,39.195
0.411,--undefined--,39.108
0.412,--undefined--,38.998
0.413,--undefined--,38.861
0.414,--undefined--,38.698
0.415,--undefined--,38.508
0.416,--undefined--,38.297
0.417,--undefined--,38.070
0.418,--undefined--,37.837
0.419,--undefined--,37.604
0.420,--undefined--,37.394
0.421,--undefined--,37.220
0.422,--undefined--,37.098
0.423,--undefined--,37.039
0.424,--undefined--,37.053
0.425,--undefined--,37.142
0.426,--undefined--,37.303
0.427,--undefined--,37.524
0.428,--undefined--,37.793
0.429,--undefined--,38.101
0.430,--undefined--,38.422
0.431,--undefined--,38.745
0.432,--undefined--,39.062
0.433,--undefined--,39.364
0.434,--undefined--,39.646
0.435,--undefined--,39.902
0.436,--undefined--,40.129
0.437,--undefined--,40.327
0.438,--undefined--,40.495
0.439,--undefined--,40.635
0.440,--undefined--,40.743
0.441,--undefined--,40.822
0.442,--undefined--,40.874
0.443,--undefined--,40.902
0.444,--undefined--,40.909
0.445,--undefined--,40.896
0.446,--undefined--,40.867
0.447,--undefined--,40.825
0.448,--undefined--,40.771
0.449,--undefined--,40.706
0.450,--undefined--,40.635
0.451,--undefined--,40.557
0.452,--undefined--,40.470
0.453,--undefined--,40.376
0.454,--undefined--,40.271
0.455,--undefined--,40.154
0.456,--undefined--,40.022
0.457,--undefined--,39.875
0.458,--undefined--,39.711
0.459,--undefined--,39.527
0.460,--undefined--,39.332
0.461,--undefined--,39.127
0.462,--undefined--,38.919
0.463,--undefined--,38.716
0.464,--undefined--,38.531
0.465,--undefined--,38.374
0.466,--undefined--,38.259
0.467,--undefined--,38.198
0.468,--undefined--,38.196
0.469,--undefined--,38.258
0.470,--undefined--,38.378
0.471,--undefined--,38.548
0.472,--undefined--,38.757
0.473,--undefined--,38.993
0.474,--undefined--,39.242
0.475,--undefined--,39.497
0.476,--undefined--,39.747
0.477,--undefined--,39.988
0.478,--undefined--,40.215
0.479,--undefined--,40.432
0.480,--undefined--,40.629
0.481,--undefined--,40.810
0.482,--undefined--,40.976
0.483,--undefined--,41.127
0.484,--undefined--,41.265
0.485,--undefined--,41.388
0.486,--undefined--,41.497
0.487,--undefined--,41.591
0.488,--undefined--,41.668
0.489,--undefined--,41.728
0.490,--undefined--,41.767
0.491,--undefined--,41.786
0.492,--undefined--,41.783
0.493,--undefined--,41.759
0.494,--undefined--,41.715
0.495,--undefined--,41.652
0.496,--undefined--,41.573
0.497,--undefined--,41.479
0.498,--undefined--,41.376
0.499,--undefined--,41.265
0.500,--undefined--,41.155
0.501,--undefined--,41.050
0.502,--undefined--,40.953
0.503,--undefined--,40.870
0.504,--undefined--,40.805
0.505,--undefined--,40.762
0.506,--undefined--,40.744
0.507,--undefined--,40.754
0.508,--undefined--,40.793
0.509,--undefined--,40.863
0.510,--undefined--,40.963
0.511,--undefined--,41.089
0.512,--undefined--,41.240
0.513,--undefined--,41.411
0.514,--undefined--,41.597
0.515,--undefined--,41.791
0.516,--undefined--,41.988
0.517,--undefined--,42.180
0.518,--undefined--,42.361
0.519,--undefined--,42.528
0.520,--undefined--,42.670
0.521,--undefined--,42.784
0.522,--undefined--,42.867
0.523,--undefined--,42.915
0.524,--undefined--,42.925
0.525,--undefined--,42.897
0.526,--undefined--,42.827
0.527,--undefined--,42.716
0.528,--undefined--,42.565
0.529,--undefined--,42.370
0.530,--undefined--,42.140
0.531,--undefined--,41.877
0.532,--undefined--,41.586
0.533,--undefined--,41.274
0.534,--undefined--,40.948
0.535,--undefined--,40.621
0.536,--undefined--,40.304
0.537,--undefined--,40.009
0.538,--undefined--,39.750
0.539,--undefined--,39.535
0.540,--undefined--,39.379
0.541,--undefined--,39.286
0.542,--undefined--,39.261
0.543,--undefined--,39.309
0.544,--undefined--,39.441
0.545,--undefined--,39.672
0.546,--undefined--,40.025
0.547,--undefined--,40.526
0.548,--undefined--,41.191
0.549,--undefined--,42.047
0.550,--undefined--,43.043
0.551,--undefined--,44.151
0.552,--undefined--,45.335
0.553,--undefined--,46.552
0.554,--undefined--,47.766
0.555,--undefined--,48.952
0.556,--undefined--,50.091
0.557,--undefined--,51.171
0.558,--undefined--,52.183
0.559,--undefined--,53.142
0.560,--undefined--,54.013
0.561,--undefined--,54.804
0.562,--undefined--,55.521
0.563,--undefined--,56.164
0.564,--undefined--,56.733
0.565,--undefined--,57.229
0.566,--undefined--,57.654
0.567,--undefined--,58.009
0.568,--undefined--,58.294
0.569,--undefined--,58.515
0.570,--undefined--,58.667
0.571,--undefined--,58.752
0.572,--undefined--,58.776
0.573,--undefined--,58.740
0.574,--undefined--,58.648
0.575,--undefined--,58.505
0.576,--undefined--,58.319
0.577,--undefined--,58.097
0.578,--undefined--,57.853
0.579,--undefined--,57.597
0.580,--undefined--,57.359
0.581,--undefined--,57.159
0.582,--undefined--,57.022
0.583,--undefined--,56.967
0.584,--undefined--,57.011
0.585,--undefined--,57.157
0.586,226.612,57.400
0.587,226.551,57.721
0.588,226.459,58.101
0.589,226.347,58.526
0.590,226.212,58.961
0.591,226.054,59.394
0.592,225.885,59.816
0.593,225.725,60.218
0.594,225.595,60.594
0.595,225.510,60.943
0.596,225.471,61.262
0.597,225.472,61.552
0.598,225.512,61.813
0.599,225.595,62.053
0.600,225.736,62.265
0.601,228.170,62.454
0.602,229.123,62.624
0.603,229.409,62.776
0.604,229.689,62.915
0.605,229.965,63.041
0.606,230.238,63.158
0.607,230.504,63.267
0.608,230.757,63.370
0.609,230.989,63.471
0.610,231.195,63.569
0.611,231.373,63.665
0.612,231.527,63.761
0.613,231.660,63.857
0.614,231.778,63.955
0.615,231.882,64.055
0.616,231.976,64.155
0.617,232.065,64.257
0.618,232.150,64.359
0.619,232.234,64.463
0.620,232.319,64.564
0.621,232.407,64.663
0.622,232.499,64.758
0.623,232.597,64.849
0.624,232.705,64.934
0.625,232.820,65.013
0.626,232.944,65.084
0.627,233.079,65.148
0.628,233.223,65.203
0.629,233.375,65.251
0.630,233.536,65.288
0.631,233.701,65.316
0.632,233.870,65.335
0.633,234.041,65.345
0.634,234.219,65.346
0.635,234.399,65.337
0.636,234.586,65.318
0.637,234.789,65.290
0.638,235.018,65.252
0.639,235.296,65.202
0.640,235.672,65.144
0.641,236.328,65.075
0.642,238.026,64.996
0.643,243.173,64.908
0.644,245.229,64.810
0.645,245.900,64.703
0.646,246.532,64.587
0.647,247.279,64.465
0.648,248.406,64.336
0.649,250.313,64.198
0.650,251.558,64.057
0.651,252.340,63.912
0.652,253.020,63.764
0.653,253.705,63.611
0.654,254.459,63.455
0.655,255.248,63.294
0.656,255.993,63.128
0.657,256.644,62.956
0.658,257.220,62.778
0.659,257.765,62.590
0.660,258.323,62.397
0.661,258.940,62.199
0.662,259.686,61.995
0.663,260.643,61.787
0.664,261.791,61.575
0.665,--undefined--,61.361
0.666,--undefined--,61.149
0.667,--undefined--,60.939
0.668,--undefined--,60.734
0.669,--undefined--,60.531
0.670,--undefined--,60.339
0.671,--undefined--,60.154
0.672,--undefined--,59.978
0.673,--undefined--,59.807
0.674,--undefined--,59.642
0.675,--undefined--,59.481
0.676,--undefined--,59.323
0.677,--undefined--,59.168
0.678,--undefined--,59.016
0.679,--undefined--,58.863
0.680,--undefined--,58.716
0.681,--undefined--,58.576
0.682,--undefined--,58.442
0.683,--undefined--,58.318
0.684,--undefined--,58.204
0.685,--undefined--,58.101
0.686,--undefined--,58.009
0.687,--undefined--,57.929
0.688,--undefined--,57.857
0.689,--undefined--,57.790
0.690,--undefined--,57.727
0.691,--undefined--,57.665
0.692,--undefined--,57.599
0.693,--undefined--,57.526
0.694,--undefined--,57.442
0.695,--undefined--,57.347
0.696,--undefined--,57.236
0.697,--undefined--,57.110
0.698,--undefined--,56.968
0.699,--undefined--,56.807
0.700,--undefined--,56.633
0.701,--undefined--,56.447
0.702,--undefined--,56.252
0.703,--undefined--,56.053
0.704,--undefined--,55.856
0.705,--undefined--,55.671
0.706,--undefined--,55.507
0.707,--undefined--,55.377
0.708,--undefined--,55.294
0.709,--undefined--,55.270
0.710,--undefined--,55.316
0.711,--undefined--,55.436
0.712,--undefined--,55.632
0.713,--undefined--,55.897
0.714,--undefined--,56.222
0.715,--undefined--,56.594
0.716,--undefined--,57.000
0.717,--undefined--,57.426
0.718,--undefined--,57.861
0.719,--undefined--,58.307
0.720,--undefined--,58.739
0.721,--undefined--,59.160
0.722,--undefined--,59.568
0.723,--undefined--,59.962
0.724,--undefined--,60.342
0.725,--undefined--,60.710
0.726,--undefined--,61.066
0.727,--undefined--,61.412
0.728,--undefined--,61.748
0.729,--undefined--,62.084
0.730,--undefined--,62.407
0.731,--undefined--,62.722
0.732,--undefined--,63.029
0.733,--undefined--,63.330
0.734,--undefined--,63.622
0.735,--undefined--,63.905
0.736,--undefined--,64.178
0.737,--undefined--,64.440
0.738,--undefined--,64.690
0.739,--undefined--,64.933
0.740,--undefined--,65.159
0.741,--undefined--,65.370
0.742,--undefined--,65.568
0.743,--undefined--,65.752
0.744,--undefined--,65.922
0.745,--undefined--,66.078
0.746,--undefined--,66.220
0.747,--undefined--,66.348
0.748,--undefined--,66.462
0.749,--undefined--,66.565
0.750,--undefined--,66.652
0.751,--undefined--,66.725
0.752,--undefined--,66.784
0.753,--undefined--,66.832
0.754,--undefined--,66.867
0.755,--undefined--,66.890
0.756,--undefined--,66.904
0.757,--undefined--,66.909
0.758,--undefined--,66.907
0.759,--undefined--,66.899
0.760,--undefined--,66.890
0.761,--undefined--,66.880
0.762,--undefined--,66.873
0.763,--undefined--,66.872
0.764,--undefined--,66.878
0.765,--undefined--,66.894
0.766,--undefined--,66.921
0.767,--undefined--,66.960
0.768,--undefined--,67.010
0.769,--undefined--,67.072
0.770,--undefined--,67.141
0.771,--undefined--,67.216
0.772,--undefined--,67.293
0.773,--undefined--,67.371
0.774,--undefined--,67.446
0.775,--undefined--,67.517
0.776,--undefined--,67.580
0.777,--undefined--,67.635
0.778,--undefined--,67.681
0.779,--undefined--,67.720
0.780,--undefined--,67.749
0.781,--undefined--,67.770
0.782,--undefined--,67.785
0.783,--undefined--,67.793
0.784,--undefined--,67.796
0.785,--undefined--,67.795
0.786,--undefined--,67.790
0.787,--undefined--,67.780
0.788,--undefined--,67.765
0.789,--undefined--,67.744
0.790,--undefined--,67.717
0.791,--undefined--,67.682
0.792,--undefined--,67.640
0.793,--undefined--,67.588
0.794,--undefined--,67.528
0.795,--undefined--,67.459
0.796,--undefined--,67.383
0.797,--undefined--,67.299
0.798,--undefined--,67.210
0.799,--undefined--,67.116
0.800,--undefined--,67.023
0.801,--undefined--,66.931
0.802,--undefined--,66.844
0.803,--undefined--,66.765
0.804,--undefined--,66.697
0.805,--undefined--,66.641
0.806,--undefined--,66.602
0.807,--undefined--,66.579
0.808,--undefined--,66.575
0.809,--undefined--,66.590
0.810,--undefined--,66.623
0.811,--undefined--,66.672
0.812,--undefined--,66.735
0.813,--undefined--,66.809
0.814,--undefined--,66.891
0.815,--undefined--,66.977
0.816,--undefined--,67.063
0.817,--undefined--,67.146
0.818,--undefined--,67.222
0.819,--undefined--,67.290
0.820,--undefined--,67.343
0.821,--undefined--,67.381
0.822,--undefined--,67.403
0.823,--undefined--,67.406
0.824,--undefined--,67.390
0.825,--undefined--,67.355
0.826,--undefined--,67.301
0.827,--undefined--,67.229
0.828,--undefined--,67.140
0.829,--undefined--,67.033
0.830,--undefined--,66.915
0.831,--undefined--,66.787
0.832,--undefined--,66.653
0.833,--undefined--,66.514
0.834,--undefined--,66.375
0.835,--undefined--,66.239
0.836,--undefined--,66.107
0.837,--undefined--,65.982
0.838,--undefined--,65.864
0.839,--undefined--,65.752
0.840,--undefined--,65.649
0.841,--undefined--,65.552
0.842,--undefined--,65.459
0.843,--undefined--,65.367
0.844,--undefined--,65.275
0.845,--undefined--,65.180
0.846,--undefined--,65.081
0.847,--undefined--,64.977
0.848,--undefined--,64.867
0.849,--undefined--,64.748
0.850,--undefined--,64.625
0.851,--undefined--,64.498
0.852,--undefined--,64.366
0.853,--undefined--,64.232
0.854,--undefined--,64.096
0.855,--undefined--,63.960
0.856,--undefined--,63.824
0.857,--undefined--,63.690
0.858,--undefined--,63.557
0.859,--undefined--,63.424
0.860,--undefined--,63.294
0.861,--undefined--,63.166
0.862,--undefined--,63.040
0.863,--undefined--,62.914
0.864,--undefined--,62.788
0.865,--undefined--,62.663
0.866,--undefined--,62.537
0.867,--undefined--,62.410
0.868,--undefined--,62.284
0.869,--undefined--,62.156
0.870,--undefined--,62.030
0.871,--undefined--,61.907
0.872,--undefined--,61.787
0.873,--undefined--,61.671
0.874,--undefined--,61.561
0.875,--undefined--,61.456
0.876,--undefined--,61.359
0.877,--undefined--,61.270
0.878,--undefined--,61.188
0.879,--undefined--,61.113
0.880,--undefined--,61.047
0.881,--undefined--,60.988
0.882,--undefined--,60.934
0.883,--undefined--,60.885
0.884,--undefined--,60.839
0.885,--undefined--,60.794
0.886,--undefined--,60.748
0.887,--undefined--,60.701
0.888,--undefined--,60.651
0.889,--undefined--,60.596
0.890,--undefined--,60.537
0.891,--undefined--,60.472
0.892,--undefined--,60.402
0.893,--undefined--,60.327
0.894,--undefined--,60.246
0.895,--undefined--,60.161
0.896,--undefined--,60.072
0.897,--undefined--,59.980
0.898,--undefined--,59.886
0.899,--undefined--,59.788
0.900,--undefined--,59.690
0.901,--undefined--,59.590
0.902,--undefined--,59.488
0.903,--undefined--,59.381
0.904,--undefined--,59.270
0.905,--undefined--,59.153
0.906,--undefined--,59.027
0.907,--undefined--,58.890
0.908,--undefined--,58.742
0.909,--undefined--,58.578
0.910,--undefined--,58.401
0.911,--undefined--,58.210
0.912,--undefined--,58.005
0.913,--undefined--,57.784
0.914,--undefined--,57.550
0.915,--undefined--,57.303
0.916,--undefined--,57.044
0.917,--undefined--,56.774
0.918,--undefined--,56.495
0.919,--undefined--,56.201
0.920,--undefined--,55.904
0.921,--undefined--,55.599
0.922,--undefined--,55.285
0.923,--undefined--,54.962
0.924,--undefined--,54.628
0.925,--undefined--,54.283
0.926,--undefined--,53.926
0.927,--undefined--,53.556
0.928,--undefined--,53.173
0.929,--undefined--,52.770
0.930,--undefined--,52.361
0.931,--undefined--,51.945
0.932,--undefined--,51.522
0.933,--undefined--,51.093
0.934,--undefined--,50.663
0.935,--undefined--,50.232
0.936,--undefined--,49.803
0.937,--undefined--,49.378
0.938,--undefined--,48.956
0.939,--undefined--,48.527
0.940,--undefined--,48.106
0.941,--undefined--,47.687
0.942,--undefined--,47.264
0.943,--undefined--,46.836
0.944,--undefined--,46.403
0.945,--undefined--,45.964
0.946,--undefined--,45.521
0.947,--undefined--,45.077
0.948,--undefined--,44.637
0.949,--undefined--,44.198
0.950,--undefined--,43.783
0.951,--undefined--,43.397
0.952,--undefined--,43.045
0.953,--undefined--,42.733
0.954,--undefined--,42.466
0.955,--undefined--,42.245
0.956,--undefined--,42.069
0.957,--undefined--,41.932
0.958,--undefined--,41.829
0.959,--undefined--,41.751
0.960,--undefined--,41.695
0.961,--undefined--,41.653
0.962,--undefined--,41.621
0.963,--undefined--,41.597
0.964,--undefined--,41.579
0.965,--undefined--,41.566
0.966,--undefined--,41.559
0.967,--undefined--,41.558
0.968,--undefined--,41.563
0.969,--undefined--,41.573
0.970,--undefined--,41.587
0.971,--undefined--,41.604
0.972,--undefined--,41.619
0.973,--undefined--,41.629
0.974,--undefined--,41.631
0.975,--undefined--,41.621
0.976,--undefined--,41.595
0.977,--undefined--,41.550
0.978,--undefined--,41.483
0.979,--undefined--,41.392
0.980,--undefined--,41.279
0.981,--undefined--,41.147
0.982,--undefined--,40.997
0.983,--undefined--,40.836
0.984,--undefined--,40.673
0.985,--undefined--,40.517
0.986,--undefined--,40.382
0.987,--undefined--,40.281
0.988,--undefined--,40.227
0.989,--undefined--,40.232
0.990,--undefined--,40.300
0.991,--undefined--,40.432
0.992,--undefined--,40.621
0.993,--undefined--,40.855
0.994,--undefined--,41.121
0.995,--undefined--,41.403
0.996,--undefined--,41.689
0.997,--undefined--,41.966
0.998,--undefined--,42.224
0.999,--undefined--,42.463
1.000,--undefined--,42.671
1.001,--undefined--,42.849
1.002,--undefined--,42.999
1.003,--undefined--,43.124
1.004,--undefined--,43.230
1.005,--undefined--,43.322
1.006,--undefined--,43.406
1.007,--undefined--,43.492
1.008,--undefined--,43.584
